"spotify_id","name","artists","daily_rank","daily_movement","weekly_movement","country","snapshot_date","popularity","is_explicit","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"3rUGC1vUpkDG9CZFHMur1t",greedy,Tate McRae,1,0,0,"",2023-11-21,100,true,131872,greedy,2023-09-15,0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,1
"3vkCueOmm7xQDoJ17W1Pm3",My Love Mine All Mine,Mitski,2,0,4,"",2023-11-21,97,false,137773,The Land Is Inhospitable and So Are We,2023-09-15,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,4
"1BxfuPKGuaTgP7aM0Bbdwr",Cruel Summer,Taylor Swift,3,0,0,"",2023-11-21,99,false,178426,Lover,2019-08-23,0.552,0.702,9,-5.707,1,0.157,0.117,0.0000206,0.105,0.564,169.994,4
"2HRgqmZQC0MC7GeNuDIXHN",Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",4,0,1,"",2023-11-21,88,true,183550,GOLDEN,2023-11-03,0.79,0.831,11,-4.185,1,0.044,0.312,0.0,0.0797,0.872,124.987,4
"2HafqoJbgXdtjwCOvNEF14",Si No Estás,iñigo quintero,5,-3,-1,"",2023-11-21,99,false,184061,Si No Estás,2022-09-23,0.537,0.421,5,-8.72,1,0.0285,0.827,0.0,0.138,0.524,98.224,4
"2KslE17cAJNHTsI2MI0jb2",Standing Next to You,Jung Kook,6,0,-4,"",2023-11-21,97,false,206019,GOLDEN,2023-11-03,0.711,0.809,2,-4.389,0,0.0955,0.0447,0.0,0.339,0.816,106.017,4
"4xhsWYTOGcal8zt0J161CU",Lovin On Me,Jack Harlow,7,-1,13,"",2023-11-21,90,true,138411,Lovin On Me,2023-11-10,0.943,0.558,2,-4.911,1,0.0568,0.0026,0.00000219,0.0937,0.606,104.983,4
"7iQXYTyuG13aoeHxGG28Nh",PERRO NEGRO,"Bad Bunny, Feid",8,-1,-1,"",2023-11-21,97,true,162767,nadie sabe lo que va a pasar mañana,2023-10-13,0.911,0.778,5,-2.248,1,0.262,0.0887,0.0000216,0.179,0.345,96.057,4
"56y1jOTK0XSvJzVv9vHQBK",Paint The Town Red,Doja Cat,9,0,0,"",2023-11-21,88,true,230480,Scarlet,2023-09-20,0.864,0.556,2,-7.683,0,0.194,0.255,0.00000385,0.112,0.726,99.974,4
"0bYg9bo50gSsH3LtXe2SQn",All I Want for Christmas Is You,Mariah Carey,10,0,13,"",2023-11-21,90,false,241106,Merry Christmas,1994-10-28,0.336,0.627,7,-7.463,1,0.0384,0.164,0.0,0.0708,0.35,150.273,4
